dataset,n,colors,algorithm,mode,fairness_combination,epsilon,delta,weightA,weightB,alpha,beta,num_diff_constraints,num_ratio_constraints,num_coverage_constraints,dimensions,range_from,range_to,range_size,range_bucket,range_position,iterations_done,file_load_ms,build_time_ms,avg_query_time_ms,min_query_time_ms,max_query_time_ms,result,result_from,result_to,similarity,tle
live_l2_unique_32k.csv,32000,3,bfs,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111482.735252,1779112105.2113838,623.4761319160461,large,low,3,N/A,6.65,46674.58,46390.46,46912.30,"[1779111680.3774,1779112099.3364]",1779111680.3774,1779112099.3364,0.8037,NO
live_l2_unique_32k.csv,32000,3,bfs,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111138.5597348,1779111756.6439154,619.0841805934906,large,low,3,N/A,6.65,154762.02,153997.79,155975.70,"[1779111157.1536,1779111321.0773]",1779111157.1536,1779111321.0773,0.4173,NO
live_l2_unique_32k.csv,32000,3,trees,range_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111294.0927737,1779111417.437774,124.34500026702881,small,low,3,N/A,427.62,3.54,3.43,3.60,"[1779111327.3116,1779111342.5148]",1779111327.3116,1779111342.5148,0.2217,NO
live_l2_unique_32k.csv,32000,3,trees,range_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111135.9972236,1779111260.9205031,125.92327952384949,small,low,3,N/A,427.62,0.93,0.90,0.95,"[1779111164.2005,1779111256.3267]",1779111164.2005,1779111256.3267,0.8516,NO
live_l2_unique_32k.csv,32000,3,trees,range_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111172.0760076,1779111295.2021565,124.12614893913269,small,low,3,N/A,427.62,0.34,0.33,0.34,"[1779111164.8099,1779111305.8898]",1779111164.8099,1779111305.8898,0.9329,NO
live_l2_unique_32k.csv,32000,3,trees,range_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111255.7485957,1779111625.0488963,370.30030059814453,medium,low,3,N/A,427.62,4.90,4.75,5.00,"[1779111471.6102,1779111544.1421]",1779111471.6102,1779111544.1421,0.3294,NO
live_l2_unique_32k.csv,32000,3,trees,range_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111309.3740814,1779111678.0961893,369.72210788726807,medium,low,3,N/A,427.62,5.39,5.24,5.48,"[1779111471.6102,1779111544.1421]",1779111471.6102,1779111544.1421,0.3294,NO
live_l2_unique_32k.csv,32000,3,trees,range_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111410.7657945,1779111782.8006055,373.03481101989746,medium,low,3,N/A,427.62,5.75,5.58,5.85,"[1779111630.5958,1779111820.8320]",1779111630.5958,1779111820.8320,0.5392,NO
live_l2_unique_32k.csv,32000,3,trees,range_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111531.0170987,1779112155.4634037,625.4463050365448,large,mid,3,N/A,427.62,4.37,4.25,4.44,"[1779111680.7837,1779112122.0714]",1779111680.7837,1779112122.0714,0.8281,NO
live_l2_unique_32k.csv,32000,3,trees,range_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111482.735252,1779112105.2113838,623.4761319160461,large,low,3,N/A,427.62,4.83,4.69,4.91,"[1779111680.3774,1779112099.3364]",1779111680.3774,1779112099.3364,0.8037,NO
live_l2_unique_32k.csv,32000,3,trees,range_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111138.5597348,1779111756.6439154,619.0841805934906,large,low,3,N/A,427.62,5.29,5.15,5.36,"[1779111157.1536,1779111321.0773]",1779111157.1536,1779111321.0773,0.4173,NO
live_l2_unique_32k.csv,32000,3,trees,kd_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111294.0927737,1779111417.437774,124.34500026702881,small,low,3,N/A,5.03,2.69,2.68,2.71,"[1779111327.3116,1779111342.5148]",1779111327.3116,1779111342.5148,0.2217,NO
live_l2_unique_32k.csv,32000,3,trees,kd_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111135.9972236,1779111260.9205031,125.92327952384949,small,low,3,N/A,5.03,0.84,0.84,0.85,"[1779111164.2005,1779111256.3267]",1779111164.2005,1779111256.3267,0.8516,NO
live_l2_unique_32k.csv,32000,3,trees,kd_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111172.0760076,1779111295.2021565,124.12614893913269,small,low,3,N/A,5.03,0.44,0.44,0.44,"[1779111164.8099,1779111305.8898]",1779111164.8099,1779111305.8898,0.9329,NO
live_l2_unique_32k.csv,32000,3,trees,kd_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111255.7485957,1779111625.0488963,370.30030059814453,medium,low,3,N/A,5.03,3.88,3.85,3.94,"[1779111471.6102,1779111544.1421]",1779111471.6102,1779111544.1421,0.3294,NO
