dataset,n,colors,algorithm,mode,fairness_combination,epsilon,delta,weightA,weightB,alpha,beta,num_diff_constraints,num_ratio_constraints,num_coverage_constraints,dimensions,range_from,range_to,range_size,range_bucket,range_position,iterations_done,file_load_ms,build_time_ms,avg_query_time_ms,min_query_time_ms,max_query_time_ms,result,result_from,result_to,similarity,tle
live_l2_unique_32k.csv,32000,3,trees,kd_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111515.000994,1779111892.5361588,9600,medium,mid,3,N/A,5.03,8.19,7.99,8.45,"[1779111582.9079,1779111982.9588]",1779111582.9079,1779111982.9588,0.8118,NO
live_l2_unique_32k.csv,32000,3,trees,kd_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111341.7179496,1779111711.3937724,9600,medium,low,3,N/A,5.03,8.52,8.46,8.58,"[1779111582.7047,1779111984.1151]",1779111582.7047,1779111984.1151,0.3428,NO
live_l2_unique_32k.csv,32000,3,trees,kd_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111543.7202594,1779111919.1924682,9600,medium,mid,3,N/A,5.03,5.55,5.55,5.55,"[1779111582.9079,1779111982.9588]",1779111582.9079,1779111982.9588,0.8880,NO
live_l2_unique_32k.csv,32000,3,trees,kd_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111160.1848187,1779111779.784975,16000,large,low,3,N/A,5.03,8.44,8.26,8.54,"[1779111142.1847,1779111344.9211]",1779111142.1847,1779111344.9211,0.3442,NO
live_l2_unique_32k.csv,32000,3,trees,kd_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111616.0332344,1779112240.6051123,16000,large,mid,3,N/A,5.03,1.47,1.47,1.48,"[1779111677.9243,1779112241.6208]",1779111677.9243,1779112241.6208,0.9170,NO
live_l2_unique_32k.csv,32000,3,trees,kd_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111112.622143,1779111728.9563231,16000,large,low,3,N/A,5.03,6.59,6.55,6.61,"[1779111123.2159,1779111343.9367]",1779111123.2159,1779111343.9367,0.4087,NO
live_l2_unique_32k.csv,32000,3,trees,rtree_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111990.1776173,1779112113.0551577,3200,small,high,3,N/A,4.93,129.49,128.98,130.33,"[1779111951.7244,1779112113.0552]",1779111951.7244,1779112113.0552,0.9443,NO
live_l2_unique_32k.csv,32000,3,trees,rtree_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111620.0176175,1779111743.1907456,3200,small,mid,3,N/A,4.93,141.13,141.06,141.19,"[1779111626.6739,1779111798.6757]",1779111626.6739,1779111798.6757,0.8799,NO
live_l2_unique_32k.csv,32000,3,trees,rtree_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111099.2467265,1779111222.8579738,3200,small,low,3,N/A,4.93,33.27,33.22,33.31,"[1779111123.2003,1779111343.7649]",1779111123.2003,1779111343.7649,0.6902,NO
live_l2_unique_32k.csv,32000,3,trees,rtree_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111515.000994,1779111892.5361588,9600,medium,mid,3,N/A,4.93,421.60,418.41,424.42,"[1779111582.9079,1779111982.9588]",1779111582.9079,1779111982.9588,0.8118,NO
live_l2_unique_32k.csv,32000,3,trees,rtree_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111341.7179496,1779111711.3937724,9600,medium,low,3,N/A,4.93,136.60,136.53,136.68,"[1779111582.7047,1779111984.1151]",1779111582.7047,1779111984.1151,0.3428,NO
live_l2_unique_32k.csv,32000,3,trees,rtree_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111543.7202594,1779111919.1924682,9600,medium,mid,3,N/A,4.93,325.41,322.19,328.03,"[1779111582.9079,1779111982.9588]",1779111582.9079,1779111982.9588,0.8880,NO
live_l2_unique_32k.csv,32000,3,trees,rtree_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111160.1848187,1779111779.784975,16000,large,low,3,N/A,4.93,122.95,122.71,123.07,"[1779111142.1847,1779111344.9211]",1779111142.1847,1779111344.9211,0.3442,NO
live_l2_unique_32k.csv,32000,3,trees,rtree_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111616.0332344,1779112240.6051123,16000,large,mid,3,N/A,4.93,65.64,65.57,65.68,"[1779111677.9243,1779112241.6208]",1779111677.9243,1779112241.6208,0.9170,NO
live_l2_unique_32k.csv,32000,3,trees,rtree_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111112.622143,1779111728.9563231,16000,large,low,3,N/A,4.93,58.18,58.17,58.19,"[1779111123.2159,1779111343.9367]",1779111123.2159,1779111343.9367,0.4087,NO
live_l2_unique_32k.csv,32000,3,trees,rstar_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111990.1776173,1779112113.0551577,3200,small,high,3,N/A,9.32,3.55,3.54,3.56,"[1779111951.7244,1779112113.0552]",1779111951.7244,1779112113.0552,0.9443,NO
live_l2_unique_32k.csv,32000,3,trees,rstar_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111620.0176175,1779111743.1907456,3200,small,mid,3,N/A,9.32,5.24,5.17,5.32,"[1779111626.6739,1779111798.6757]",1779111626.6739,1779111798.6757,0.8799,NO
live_l2_unique_32k.csv,32000,3,trees,rstar_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111099.2467265,1779111222.8579738,3200,small,low,3,N/A,9.32,2.35,2.32,2.41,"[1779111123.2003,1779111343.7649]",1779111123.2003,1779111343.7649,0.6902,NO
live_l2_unique_32k.csv,32000,3,trees,rstar_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111515.000994,1779111892.5361588,9600,medium,mid,3,N/A,9.32,8.23,8.11,8.38,"[1779111582.9079,1779111982.9588]",1779111582.9079,1779111982.9588,0.8118,NO
live_l2_unique_32k.csv,32000,3,trees,rstar_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111341.7179496,1779111711.3937724,9600,medium,low,3,N/A,9.32,11.03,10.88,11.26,"[1779111582.7047,1779111984.1151]",1779111582.7047,1779111984.1151,0.3428,NO
live_l2_unique_32k.csv,32000,3,trees,rstar_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111543.7202594,1779111919.1924682,9600,medium,mid,3,N/A,9.32,4.26,4.21,4.36,"[1779111582.9079,1779111982.9588]",1779111582.9079,1779111982.9588,0.8880,NO
live_l2_unique_32k.csv,32000,3,trees,rstar_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111160.1848187,1779111779.784975,16000,large,low,3,N/A,9.32,10.84,10.70,11.07,"[1779111142.1847,1779111344.9211]",1779111142.1847,1779111344.9211,0.3442,NO
live_l2_unique_32k.csv,32000,3,trees,rstar_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111616.0332344,1779112240.6051123,16000,large,mid,3,N/A,9.32,2.71,2.67,2.78,"[1779111677.9243,1779112241.6208]",1779111677.9243,1779112241.6208,0.9170,NO
