time,color
69.091,HARD
69.093,HARD
69.094,HARD
69.096,HARD
69.1,MEDIUM
69.102,HARD
69.104,HARD
69.107,HARD
69.108,MEDIUM
69.109,HARD
69.113,HARD
69.114,HARD
69.115,MEDIUM
69.116,HARD
69.118,MEDIUM
69.126,HARD
69.127,MEDIUM
69.128,MEDIUM
69.129,MEDIUM
69.13,MEDIUM
69.132,HARD
69.135,MEDIUM
69.137,HARD
69.138,MEDIUM
69.14,HARD
69.144,HARD
69.145,HARD
69.147,HARD
69.148,HARD
69.151,HARD
69.152,HARD
69.154,HARD
69.155,HARD
69.156,HARD
69.157,MEDIUM
69.16,HARD
69.161,HARD
69.162,HARD
69.163,HARD
69.164,HARD
69.166,HARD
69.167,HARD
69.168,HARD
69.17,HARD
69.17099999999999,HARD
69.173,MEDIUM
69.174,HARD
69.175,HARD
69.176,HARD
69.179,HARD
69.18,HARD
69.181,HARD
69.182,HARD
69.18299999999999,MEDIUM
69.184,HARD
69.188,HARD
69.19,HARD
69.19200000000001,HARD
69.194,HARD
69.195,HARD
69.196,MEDIUM
69.197,HARD
69.19800000000001,HARD
69.2,MEDIUM
69.202,HARD
69.203,HARD
69.205,HARD
69.206,HARD
69.207,HARD
69.208,HARD
69.209,HARD
69.211,HARD
69.214,HARD
69.216,HARD
69.217,HARD
69.218,MEDIUM
69.22,MEDIUM
69.222,HARD
69.224,HARD
69.226,HARD
69.227,HARD
69.229,MEDIUM
69.231,HARD
69.234,MEDIUM
69.235,HARD
69.237,HARD
69.238,HARD
69.241,HARD
69.242,HARD
69.244,MEDIUM
69.245,HARD
69.247,HARD
69.249,HARD
69.25,MEDIUM
69.251,HARD
69.252,MEDIUM
69.254,HARD
69.255,HARD
69.256,HARD
69.257,HARD
69.258,MEDIUM
69.259,HARD
69.262,HARD
69.263,HARD
69.265,HARD
69.269,HARD
69.27,MEDIUM
69.271,HARD
69.274,MEDIUM
69.276,HARD
69.277,HARD
69.282,HARD
69.283,MEDIUM
69.284,HARD
69.285,HARD
69.287,HARD
69.288,HARD
69.289,HARD
69.28999999999999,MEDIUM
69.293,MEDIUM
69.294,HARD
69.295,HARD
69.297,MEDIUM
69.299,MEDIUM
69.3,HARD
69.301,HARD
69.30199999999999,HARD
69.303,HARD
69.304,MEDIUM
69.305,HARD
69.30799999999999,HARD
69.311,HARD
69.313,HARD
69.314,HARD
69.315,HARD
69.31700000000001,HARD
69.318,HARD
69.321,MEDIUM
69.322,MEDIUM
69.32300000000001,MEDIUM
69.325,HARD
69.326,MEDIUM
69.327,MEDIUM
69.328,HARD
69.331,HARD
69.333,HARD
69.334,HARD
69.33500000000001,HARD
69.336,HARD
69.337,HARD
69.338,MEDIUM
69.34,HARD
69.342,MEDIUM
69.344,MEDIUM
69.345,HARD
69.346,MEDIUM
69.347,HARD
69.348,MEDIUM
69.349,MEDIUM
69.35,HARD
69.351,HARD
69.353,HARD
69.355,MEDIUM
69.356,MEDIUM
69.357,MEDIUM
69.358,HARD
69.359,HARD
69.361,MEDIUM
69.362,HARD
69.363,HARD
69.365,HARD
69.367,HARD
69.368,MEDIUM
69.371,MEDIUM
69.373,HARD
69.374,HARD
69.375,HARD
69.376,HARD
69.379,MEDIUM
69.38,MEDIUM
69.383,HARD
69.384,HARD
69.386,HARD
69.387,HARD
69.388,MEDIUM
69.391,HARD
69.392,HARD
69.393,HARD
69.394,HARD
69.395,HARD
69.398,HARD
69.399,HARD
69.4,HARD
69.402,MEDIUM
69.404,HARD
69.408,MEDIUM
69.41,HARD
69.411,MEDIUM
69.412,HARD
69.414,HARD
69.416,HARD
69.419,HARD
69.42,MEDIUM
69.42099999999999,HARD
69.424,HARD
69.425,MEDIUM
69.42699999999999,HARD
69.429,HARD
69.43,HARD
69.431,HARD
69.43299999999999,MEDIUM
69.434,MEDIUM
69.436,MEDIUM
69.437,MEDIUM
69.439,HARD
69.44,MEDIUM
69.441,HARD
69.445,MEDIUM
69.446,HARD
69.44800000000001,HARD
69.449,HARD
69.451,MEDIUM
69.453,HARD
69.45400000000001,HARD
69.456,MEDIUM
69.457,MEDIUM
69.458,HARD
69.459,MEDIUM
69.46000000000001,HARD
69.461,HARD
69.464,HARD
69.469,MEDIUM
69.471,HARD
69.473,MEDIUM
69.476,HARD
69.477,HARD
69.479,HARD
69.48,HARD
69.481,HARD
69.485,MEDIUM
69.486,MEDIUM
69.49,HARD
69.491,HARD
69.492,HARD
69.493,HARD
69.494,MEDIUM
69.495,HARD
69.496,MEDIUM
69.497,HARD
69.498,MEDIUM
69.5,MEDIUM
69.501,MEDIUM
69.502,HARD
69.503,MEDIUM
69.504,HARD
69.505,HARD
69.507,MEDIUM
69.508,MEDIUM
69.509,MEDIUM
69.511,HARD
69.512,MEDIUM
69.515,MEDIUM
69.516,MEDIUM
69.518,MEDIUM
69.521,HARD
69.523,HARD
69.524,HARD
69.525,MEDIUM
69.527,HARD
69.528,MEDIUM
69.529,HARD
69.533,MEDIUM
69.534,MEDIUM
69.536,HARD
69.537,HARD
69.538,HARD
69.539,HARD
69.541,MEDIUM
69.543,HARD
69.545,MEDIUM
69.547,MEDIUM
69.55,MEDIUM
69.55199999999999,MEDIUM
69.553,HARD
69.55799999999999,HARD
69.559,HARD
69.56,HARD
69.561,HARD
69.563,HARD
69.564,MEDIUM
69.565,HARD
69.566,HARD
69.56700000000001,HARD
69.568,MEDIUM
69.569,HARD
69.572,HARD
69.574,HARD
69.576,HARD
69.578,HARD
69.57900000000001,HARD
69.58,HARD
69.583,HARD
69.58500000000001,MEDIUM
69.586,HARD
69.587,HARD
69.588,MEDIUM
69.589,HARD
69.592,HARD
69.593,HARD
69.594,MEDIUM
69.595,HARD
69.596,HARD
69.598,HARD
69.599,HARD
69.6,HARD
69.601,MEDIUM
69.602,HARD
69.603,HARD
69.604,MEDIUM
69.605,HARD
