timestamp,color
1779111079.6060786,ETHUSDT
1779111079.6528952,SOLUSDT
1779111079.6997573,BTCUSDT
1779111079.7622697,SOLUSDT
1779111079.7935479,BTCUSDT
1779111079.8091428,ETHUSDT
1779111079.8562999,SOLUSDT
1779111079.9029126,BTCUSDT
1779111079.9654012,SOLUSDT
1779111079.996645,BTCUSDT
1779111080.0122821,ETHUSDT
1779111080.074757,SOLUSDT
1779111080.1060402,BTCUSDT
1779111080.1216679,ETHUSDT
1779111080.1841877,SOLUSDT
1779111080.2153924,BTCUSDT
1779111080.277896,SOLUSDT
1779111080.3091545,BTCUSDT
1779111080.3247695,ETHUSDT
1779111080.3872807,SOLUSDT
1779111080.4185212,BTCUSDT
1779111080.4810195,SOLUSDT
1779111080.5122743,BTCUSDT
1779111080.5279016,ETHUSDT
1779111080.5904112,SOLUSDT
1779111080.6216547,BTCUSDT
1779111080.699776,SOLUSDT
1779111080.7154083,ETHUSDT
1779111080.7310178,BTCUSDT
1779111080.793519,SOLUSDT
1779111080.824773,ETHUSDT
1779111080.8403986,BTCUSDT
1779111080.9029057,SOLUSDT
1779111080.9341505,ETHUSDT
1779111081.0122685,SOLUSDT
1779111081.0278964,ETHUSDT
1779111081.0435278,BTCUSDT
1779111081.1060925,SOLUSDT
1779111081.1372864,ETHUSDT
1779111081.2154188,SOLUSDT
1779111081.2310243,ETHUSDT
1779111081.2466445,BTCUSDT
1779111081.3247726,SOLUSDT
1779111081.340444,ETHUSDT
1779111081.4341428,SOLUSDT
1779111081.4497752,BTCUSDT
1779111081.527902,SOLUSDT
1779111081.5435236,BTCUSDT
1779111081.637275,SOLUSDT
1779111081.652932,BTCUSDT
1779111081.7466803,BTCUSDT
1779111081.7622838,SOLUSDT
1779111081.8404014,BTCUSDT
1779111081.8565297,ETHUSDT
1779111081.9497817,BTCUSDT
1779111081.965413,SOLUSDT
1779111082.0435424,BTCUSDT
1779111082.0591564,ETHUSDT
1779111082.0904093,SOLUSDT
1779111082.152915,BTCUSDT
1779111082.1685486,ETHUSDT
1779111082.1841593,SOLUSDT
1779111082.246652,BTCUSDT
1779111082.2622726,ETHUSDT
1779111082.2935407,SOLUSDT
1779111082.3560333,BTCUSDT
1779111082.3716571,ETHUSDT
1779111082.4029052,SOLUSDT
1779111082.4654083,BTCUSDT
1779111082.512281,SOLUSDT
1779111082.5747895,BTCUSDT
1779111082.6216583,SOLUSDT
1779111082.6685336,BTCUSDT
1779111082.6841564,ETHUSDT
1779111082.7310297,SOLUSDT
1779111082.777897,BTCUSDT
1779111082.8404143,SOLUSDT
1779111082.8716495,BTCUSDT
1779111082.887282,ETHUSDT
1779111082.9497757,SOLUSDT
1779111082.9810307,BTCUSDT
1779111083.0435393,SOLUSDT
1779111083.074772,BTCUSDT
1779111083.0904179,ETHUSDT
1779111083.1529157,SOLUSDT
1779111083.1841662,BTCUSDT
1779111083.2622936,SOLUSDT
1779111083.2779644,BTCUSDT
1779111083.2935317,ETHUSDT
1779111083.3716633,SOLUSDT
1779111083.3872879,BTCUSDT
1779111083.4810257,BTCUSDT
1779111083.4966536,SOLUSDT
1779111083.5904036,SOLUSDT
1779111083.6061091,BTCUSDT
1779111083.684171,SOLUSDT
1779111083.699789,ETHUSDT
1779111083.7935355,SOLUSDT
1779111083.8091667,BTCUSDT
1779111083.8873012,SOLUSDT
1779111083.902914,ETHUSDT
1779111083.9966707,SOLUSDT
1779111084,BTCUSDT
1779111084.090406,SOLUSDT
1779111084.106096,ETHUSDT
1779111084.1216812,BTCUSDT
1779111084.1998022,ETHUSDT
1779111084.2154317,SOLUSDT
1779111084.3091662,ETHUSDT
1779111084.3247876,SOLUSDT
1779111084.4029212,ETHUSDT
1779111084.4185457,BTCUSDT
1779111084.5122921,ETHUSDT
1779111084.5279229,SOLUSDT
1779111084.6061666,ETHUSDT
1779111084.6216779,BTCUSDT
1779111084.6372883,SOLUSDT
1779111084.7154202,ETHUSDT
1779111084.7623048,SOLUSDT
1779111084.8091915,ETHUSDT
1779111084.8248076,BTCUSDT
1779111084.871661,SOLUSDT
1779111084.918553,ETHUSDT
1779111084.9654288,BTCUSDT
1779111084.9810424,SOLUSDT
1779111085.027929,ETHUSDT
1779111085.0747893,BTCUSDT
1779111085.0904243,SOLUSDT
1779111085.1216686,ETHUSDT
1779111085.1685317,BTCUSDT
1779111085.184164,SOLUSDT
1779111085.2310457,ETHUSDT
1779111085.2780247,BTCUSDT
1779111085.324804,ETHUSDT
1779111085.371663,BTCUSDT
1779111085.387287,SOLUSDT
1779111085.4341667,ETHUSDT
1779111085.481055,BTCUSDT
